date,description,amount,currency,reference,transaction_type
2026-08-01,STRIPE PAYOUT SETTLEMENT #9901,15450.00,USD,STRIPE-SETTLE-9901,credit
2026-08-03,Razorpay Settlement Payout,28900.50,USD,RZP-SETTLE-4412,credit
2026-08-05,Customer Inflow Wire Acme Corp,45000.00,USD,WIRE-ACME-8821,credit
2026-08-08,Slack Enterprise Grid Annual,-12500.00,USD,INV-SLACK-2026,debit
2026-08-10,Monthly Payroll Direct Deposit,-38500.00,USD,PAYROLL-2026-08,debit
2026-08-12,AMAZON WEB SERVICES EMEA INVOICE,-2450.75,USD,INV-AWS-88120,debit
2026-08-15,GOOGLE CLOUD PLATFORM SAAS,-850.00,USD,GCP-INV-4419,debit
2026-08-16,GITHUB ENTERPRISE SEATS,-420.00,USD,GH-SUB-9982,debit
2026-08-20,STRIPE PAYOUT SETTLEMENT #9902,18500.00,USD,STRIPE-SETTLE-9902,credit
2026-08-23,DATADOG MONITORING CLOUD,-3100.00,USD,INV-DD-5512,debit
2026-08-23,DATADOG MONITORING APM ADDON,-3100.00,USD,INV-DD-5513,debit
2026-08-26,OFFICE LEASE WEWORK GLOBAL,-9500.00,USD,LEASE-AUG-2026,debit
2026-08-27,UNKNOWN INTERNATIONAL WIRE INFLOW,7500.00,USD,WIRE-UNRECOG-991,credit
2026-08-28,REFUND DISPUTE CHARGEBACK STRIPE,-1200.00,USD,CHG-BACK-0012,debit
2026-08-30,VENDOR PAYMENT STRATEGY CONSULTING,-6800.00,USD,INV-STRAT-0091,debit
