settlement_date,processor,gross_amount,processing_fee,net_amount,reference_id,status,notes
2026-06-04,Stripe,46560.76,1350.26,45210.5,STRIPE-8841,PAID,Exact Match with Bank Statement
2026-06-07,PayPal,19001.29,551.04,18450.25,PAYPAL-9920,PAID,Exact Match with Bank Statement
2026-06-11,Adyen,33698.77,808.77,32890.0,ADYEN-4410,PAID,Exact Match with Bank Statement
2026-06-17,Square,12822.66,371.86,12450.8,SQ-7711,PAID,Exact Match with Bank Statement
2026-06-21,Stripe,53697.22,1557.22,52140.0,STRIPE-8892,PAID,Exact Match with Bank Statement
2026-07-02,Stripe,50411.95,1461.95,48950.0,STRIPE-8914,PAID,Exact Match with Bank Statement
2026-07-06,PayPal,21977.86,637.36,21340.5,PAYPAL-9988,PAID,Exact Match with Bank Statement
2026-07-09,Adyen,30122.95,722.95,29400.0,ADYEN-4480,PAID,Exact Match with Bank Statement
2026-07-13,Stripe,-2450.0,0.0,-2450.0,DISP-9102,DISPUTE_HOLD,Dispute hold deduction
2026-07-16,Square,16292.89,472.49,15820.4,SQ-7750,PAID,Exact Match with Bank Statement
2026-07-24,Stripe,63027.81,1827.81,61200.0,STRIPE-8955,PAID,Exact Match with Bank Statement
2026-08-03,Stripe,55932.03,1622.03,54310.0,STRIPE-9012,PAID,Exact Match with Bank Statement
2026-08-07,PayPal,20391.35,591.35,19800.0,PAYPAL-1004,PAID,Exact Match with Bank Statement
2026-08-10,Adyen,34958.97,838.97,34120.0,ADYEN-4520,PAID,Exact Match with Bank Statement
2026-08-17,Square,14655.92,425.02,14230.9,SQ-7801,PAID,Exact Match with Bank Statement
2026-08-21,Stripe,60144.18,1744.18,58400.0,STRIPE-9066,PAID,Exact Match with Bank Statement
2026-08-24,Stripe,5149.33,149.33,5000.0,STRIPE-UNREC-991,PENDING,Unreconciled Stripe breakout payout
2026-08-27,PayPal,12358.42,358.42,12000.0,PAYPAL-UNREC-882,HOLD,Merchant audit reserve hold
2026-08-30,Adyen,18537.64,444.64,18093.0,ADYEN-IN-TRANSIT,IN_TRANSIT,In-transit end of month settlement
